,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
0,win,Mateusz Gamrot  Arman Tsarukyan,0  1,81  95,6  1,0  0,Lightweight,U-DEC,5,5:00,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
1,win,Shavkat Rakhmonov  Neil Magny,0  0,19  11,2  0,1  0,Welterweight,SUB  Guillotine Choke,2,4:58,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
2,win,Josh Parisian  Alan Baudot,0  1,42  49,3  0,0  0,Heavyweight,KO/TKO  Punches,2,3:04,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
3,win,Thiago Moises  Christos Giagos,0  0,3  2,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,3:05,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
4,win,Umar Nurmagomedov  Nate Maness,0  0,74  2,3  0,0  0,Bantamweight,U-DEC,3,5:00,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
5,win,Chris Curtis  Rodolfo Vieira,0  0,109  86,0  0,0  0,Middleweight,U-DEC,3,5:00,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
6,win,Carlos Ulberg  Tafon Nchukwi,1  0,15  3,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,1:15,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
7,win,Shayilan Nuerdanbieke  TJ Brown,1  0,47  42,3  1,0  4,Featherweight,U-DEC,3,5:00,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
8,win,Sergey Morozov  Raulian Paiva,0  0,68  63,2  1,0  0,Bantamweight,U-DEC,3,5:00,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
9,win,Cody Durden  JP Buys,1  0,23  7,0  0,0  0,Flyweight,KO/TKO  Punch,1,1:08,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
10,win,Mario Bautista  Brian Kelleher,0  0,6  2,2  0,1  0,Bantamweight,SUB  Rear Naked Choke,1,2:27,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
11,win,Vanessa Demopoulos  Jinh Yu Frey,0  0,66  62,1  0,0  0,Women's Strawweight,S-DEC,3,5:00,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
12,win,Josh Emmett  Calvin Kattar,0  0,107  130,0  0,0  0,Featherweight,S-DEC,5,5:00,"
              UFC Fight Night: Kattar vs. Emmett
            "
13,win,Kevin Holland  Tim Means,0  0,36  21,0  2,1  0,Welterweight,SUB  D'Arce Choke,2,1:28,"
              UFC Fight Night: Kattar vs. Emmett
            "
14,win,Joaquin Buckley  Albert Duraev,2  0,27  10,0  2,0  0,Middleweight,KO/TKO,2,5:00,"
              UFC Fight Night: Kattar vs. Emmett
            "
15,win,Damir Ismagulov  Guram Kutateladze,0  0,79  78,0  1,0  0,Lightweight,S-DEC,3,5:00,"
              UFC Fight Night: Kattar vs. Emmett
            "
